id,name,address,lat,lon
1,Black Rock Coffee House & Kitchen,2480 Black Rock Tpke Fairfield CT,41.1849509,-73.2557216
2,Candlewood Market,85 Mill Plain Rd Fairfield CT,41.1419159,-73.26565
3,Wake-Cup-Coffee,71 Constant Comment Way Fairfield CT,41.1609152,-73.2354822
4,Joe Joe Coffee & Acai,1492 Post Rd Fairfield CT,41.1411641,-73.2580816
5,Las Vetas Lounge,27 Unquowa Rd Fairfield CT,41.1417766,-73.2566832
6,Sound Coffee,2889 Fairfield Ave Bridgeport CT,41.15718079,-73.22676849
7,Roost Kitchen + Coffee,2075 Black Rock Tpke Fairfield CT,41.18059921,-73.24871826
8,Harborview Market,218 Harborview Ave Bridgeport CT,41.1542771,-73.2273634
9,Gruel Britannia - Fairfield,2217 Post Rd Fairfield CT,41.1400306,-73.2709834
10,The Whale Tea - Fairfield,1700 Post Rd Fairfield CT,41.1414249,-73.2609854
11,Starbucks (Post Rd),1740 Post Rd Fairfield CT,41.1414304,-73.2622438
12,Starbucks (Black Rock Tpke),2171 Black Rock Tpke Fairfield CT,41.1813774,-73.2526519
13,Wich Day Sandwiches,808 Post Rd Fairfield CT,41.1476124,-73.249388
14,The Corner Market & Sandwich Shop,1876 Bronson Rd Fairfield CT,41.1610391,-73.2831141
20,Dunkin (Post Rd),"593 Post Rd, Fairfield, CT 06824",41.1483941,-73.2451439
21,Dunkin (Black Rock Tpke),2323 Black Rock Tpke Fairfield CT,41.1827536,-73.2547431
28,The Granola Bar,275 Post Rd E Westport CT,41.141159,-73.3561056
29,Green & Tonic,354 Post Rd E Westport CT,41.1405736,-73.3538985
